LOT_ID,WAFER_ID,WAFER_SCRIBE_ID,INSPECTION_DATE,X,Y,c_id,none,scratch,focus_spot
L9246480,201,QAFJI201KOF6,2019-09-22 20:39:20,-120.505111,-1.006135,1,1,0,0
L9246480,201,QAFJI201KOF6,2019-09-22 20:39:20,-119.845969,56.858406,1,1,0,0
L9246480,201,QAFJI201KOF6,2019-09-22 20:39:20,-114.57472299999999,32.255524,1,1,0,0
L9246480,201,QAFJI201KOF6,2019-09-22 20:39:20,-109.43432899999999,42.7761,1,1,0,0
L9246480,201,QAFJI201KOF6,2019-09-22 20:39:20,-100.523926,-21.909454,1,1,0,0
L9246480,201,QAFJI201KOF6,2019-09-22 20:39:20,-93.231823,-95.00304399999999,0,0,0,0
L9246480,201,QAFJI201KOF6,2019-09-22 20:39:20,-76.38642999999999,49.148853,1,1,0,0
L9246480,201,QAFJI201KOF6,2019-09-22 20:39:20,-74.78201700000001,59.629557,1,1,0,0
L9246480,201,QAFJI201KOF6,2019-09-22 20:39:20,-71.698331,61.039413999999994,1,1,0,0
L9246480,201,QAFJI201KOF6,2019-09-22 20:39:20,-5.63218,-0.534407,0,0,0,0
L9246480,201,QAFJI201KOF6,2019-09-22 20:39:20,-0.517215,-2.368911,0,0,0,0
L9246480,201,QAFJI201KOF6,2019-09-22 20:39:20,8.068744,-101.626825,2,1,0,0
L9246480,201,QAFJI201KOF6,2019-09-22 20:39:20,8.068795,-123.437376,2,1,0,0
L9246480,201,QAFJI201KOF6,2019-09-22 20:39:20,13.029396,56.612992,2,1,0,0
L9246480,201,QAFJI201KOF6,2019-09-22 20:39:20,21.383991,-105.581588,2,1,0,0
L9246480,201,QAFJI201KOF6,2019-09-22 20:39:20,28.710496,-98.022667,2,1,0,0
L9246480,201,QAFJI201KOF6,2019-09-22 20:39:20,42.286302000000006,-6.545281,2,1,0,0
L9246480,201,QAFJI201KOF6,2019-09-22 20:39:20,46.563646999999996,-109.146256,2,1,0,0
L9246480,201,QAFJI201KOF6,2019-09-22 20:39:20,50.7737,-89.800647,2,1,0,0
L9246480,201,QAFJI201KOF6,2019-09-22 20:39:20,72.12614500000001,58.074965999999996,2,1,0,0
L9246480,201,QAFJI201KOF6,2019-09-22 20:39:20,105.991054,-9.758225,2,1,0,0
L9246480,201,QAFJI201KOF6,2019-09-22 20:39:20,120.632151,-31.528834,0,0,0,0
L9246480,201,QAFJI201KOF6,2019-09-22 20:39:20,124.20143300000001,44.89729,0,0,0,0
