LOT_ID,WAFER_ID,WAFER_SCRIBE_ID,INSPECTION_DATE,X,Y,c_id,class
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-124.882252,-4.076045,2,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-120.834836,32.116247,2,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-113.97211,-8.7741,2,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-111.429656,-1.2406400000000002,2,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-107.922177,-0.259997,2,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-69.00097099999999,-90.540469,4,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-67.23939,-3.651882,2,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-59.05352,-101.070134,4,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-58.438847,-88.422181,4,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-54.931419,-112.357729,4,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-41.881308,-90.590496,4,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-16.487534,124.587237,0,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-6.967560000000001,-83.823272,4,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,3.088791,105.832632,0,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,13.337254,-78.038018,4,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,14.030361999999998,-117.739066,4,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,14.193518999999998,-117.078911,4,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,22.91483,-109.437242,4,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,25.056839,54.984288,0,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,60.415116000000005,44.087001,0,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,65.993789,-16.448081000000002,3,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,72.62756599999999,-86.51569099999999,4,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,73.09114,-24.586187,3,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,110.845204,-14.914701,3,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,116.523105,-25.257684,3,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,116.793749,-25.508039,3,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,117.312791,-25.169535,3,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,117.641263,-1.240611,1,focus_spot
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,124.520524,-0.5525639999999999,1,focus_spot
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,124.689758,-1.240627,1,focus_spot
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,125.178419,33.070783000000006,3,none
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,125.178645,-0.787235,1,focus_spot
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,125.556619,-1.240625,1,focus_spot
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,127.257442,-0.683137,1,focus_spot
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,127.258086,-1.529394,1,focus_spot
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,127.258424,-1.670546,1,focus_spot
