LOT_ID,WAFER_ID,WAFER_SCRIBE_ID,INSPECTION_DATE,X,Y,c_id,none,scratch,focus_spot
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,-143.036654,-31.616367999999998,3,1,0,0
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,-143.005021,30.239922999999997,0,0,0,0
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,-127.68601,-47.774233,3,1,0,0
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,-91.98013800000001,16.272562,3,1,0,0
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,-68.99240400000001,-45.918739,3,1,0,0
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,-41.667119,17.761806,0,0,0,0
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,-28.622481,-91.087347,3,1,0,0
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,-4.6173280000000005,-140.82397199999997,1,0,0,1
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,-4.565612,-140.78898999999998,1,0,0,1
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,-4.530719,-140.85905499999998,1,0,0,1
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,-4.400354999999999,-140.645645,1,0,0,1
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,-4.202934,-140.46328400000002,1,0,0,1
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,-4.202896,-140.46417000000002,1,0,0,1
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,-4.074429,-140.41540799999999,1,0,0,1
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,-3.0948890000000002,-139.641112,1,0,0,1
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,-3.090806,-139.59925199999998,1,0,0,1
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,-2.572947,-139.281606,1,0,0,1
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,-2.4426370000000004,-139.27927800000003,1,0,0,1
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,-1.236138,4.665919,2,1,0,0
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,57.97094,12.380192,2,1,0,0
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,67.631928,26.858977000000003,2,1,0,0
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,83.215198,10.280664,2,1,0,0
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,96.10659600000001,60.647214000000005,2,1,0,0
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,108.48435,61.067996,2,1,0,0
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,112.022367,-81.808561,0,0,0,0
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,116.102537,85.468946,2,1,0,0
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,140.833226,29.118585,2,1,0,0
L9226780,76,M7DAG076WAD7,2019-08-25 01:18:15,143.416098,21.630807,2,1,0,0
